Date,City,Temp,wind speed,pressure, Humidity
2023-01-10,Greater Noida,11.9,5.3,1019.5,40
2023-01-11,Greater Noida,12,5.3,1015.4,52
2023-01-12,Greater Noida,14.7,6.2,1012.5,55
2023-01-13,Greater Noida,15.3,5.6,1013.1,63
2023-01-14,Greater Noida,13.7,8.9,1016.6,59
2023-01-15,Greater Noida,10.8,7.9,1016.1,63
2023-01-16,Greater Noida,9.9,3.6,1017.2,63
2023-01-17,Greater Noida,10.8,4.6,1017.8,72
2023-01-18,Greater Noida,10.8,2.8,1019.6,77
2023-01-19,Greater Noida,13.2,2.3,1019,68
2023-01-20,Greater Noida,15.3,3.8,1017.4,72
2023-01-21,Greater Noida,14.8,1.8,1016.9,72
2023-01-22,Greater Noida,15.4,1.4,1015.8,72
2023-01-23,Greater Noida,15.8,1.8,1015.3,60
2023-01-24,Greater Noida,16.3,6,1014.2,68
2023-01-25,Greater Noida,16.1,4,1015.8,50
2023-01-26,Greater Noida,14.9,7.9,1018.2,53
2023-01-27,Greater Noida,13.3,7.8,1018.4,44
2023-01-28,Greater Noida,13.6,6,1015.5,44
2023-01-29,Greater Noida,13.4,4.8,1015,50
2023-01-30,Greater Noida,14.5,5.5,1017.9,57
2023-01-31,Greater Noida,15,9.5,1018.9,60
2023-02-01,Greater Noida,14.7,12.6,1017.7,68
2023-02-02,Greater Noida,16,10.3,1016.5,64
2023-02-03,Greater Noida,17,8.4,1016.2,68
2023-02-04,Greater Noida,17.2,9.1,1013.8,64
2023-02-05,Greater Noida,17.3,7.6,1012.4,56
2023-02-06,Greater Noida,18.5,3.6,1011.3,52
2023-02-07,Greater Noida,18.7,8.2,1011.2,68
2023-02-08,Greater Noida,16.7,8.1,1013.5,63
2023-02-09,Greater Noida,18.4,5.4,1012.5,68
2023-02-10,Greater Noida,20.3,5.2,1011,77
2023-02-11,Greater Noida,20.1,5.5,1013,72
2023-02-12,Greater Noida,17.7,11.1,1017.4,72
2023-02-13,Greater Noida,16.4,17.4,1016,63
2023-02-14,Greater Noida,17.9,9.6,1015.5,63
2023-02-15,Greater Noida,19.3,9.2,1012.9,63
2023-02-16,Greater Noida,19.3,3.1,1014.2,60
2023-02-17,Greater Noida,20.1,2,1015.5,53
2023-02-18,Greater Noida,20.8,2.4,1014.6,53
2023-02-19,Greater Noida,21.3,2.2,1013.7,47
2023-02-20,Greater Noida,22.6,2.1,1011,44
2023-02-21,Greater Noida,22.9,3.5,1010,41
2023-02-22,Greater Noida,22.2,3.5,1011.8,64
2023-02-23,Greater Noida,21.6,6,1012.3,68
2023-02-24,Greater Noida,20.5,5.4,1014.1,64
2023-02-25,Greater Noida,20.9,3.2,1015.9,64
2023-02-26,Greater Noida,22.2,2.2,1017.3,68
2023-02-27,Greater Noida,23.2,3.1,1016.9,55
2023-02-28,Greater Noida,22.3,3.7,1017,52
2023-03-01,Greater Noida,22.4,4.2,1018.1,55
2023-03-02,Greater Noida,23.1,3.4,1018.2,63
2023-03-03,Greater Noida,23.8,7.1,1018.4,63
2023-03-04,Greater Noida,22.8,7.8,1018.8,71
2023-03-05,Greater Noida,23.2,6.5,1017.7,76
2023-03-06,Greater Noida,22.9,5.3,1015.8,71
2023-03-07,Greater Noida,23,3.8,1015,62
2023-03-08,Greater Noida,22.7,4.2,1015.9,72
2023-03-09,Greater Noida,22.7,2.8,1016.3,48
2023-03-10,Greater Noida,23.3,4.8,1015.2,40
2023-03-11,Greater Noida,24,2.8,1014.7,29
2023-03-12,Greater Noida,24.4,2.2,1014.1,35
2023-03-13,Greater Noida,24.6,3.3,1012.8,40
2023-03-14,Greater Noida,25.3,4.7,1010,52
2023-03-15,Greater Noida,25.4,2.6,1008.4,55
2023-03-16,Greater Noida,25.1,3.6,1009.4,55
2023-03-17,Greater Noida,23.7,3.8,1011.4,59
2023-03-18,Greater Noida,20.8,6,1011,67
2023-03-19,Greater Noida,21.4,3.6,1008.8,67
2023-03-20,Greater Noida,20.1,5.9,1007.6,63
2023-03-21,Greater Noida,20,3.6,1008.7,67
2023-03-22,Greater Noida,22,3.8,1010.2,67
2023-03-23,Greater Noida,23.2,5.1,1008.5,67
2023-03-24,Greater Noida,22.5,7.3,1008.5,67
2023-03-25,Greater Noida,23.3,6.8,1011.1,59
2023-03-26,Greater Noida,23.7,5.1,1010.8,59
2023-03-27,Greater Noida,23.1,7.3,1010,48
2023-03-28,Greater Noida,23.3,4.9,1009.7,40
2023-03-29,Greater Noida,24.2,3.2,1010,43
2023-03-30,Greater Noida,23.7,5.3,1008.5,35
2023-03-31,Greater Noida,21.1,5.2,1008.3,33
2023-04-01,Greater Noida,21.5,4.8,1009.1,33
2023-04-02,Greater Noida,22.9,4.9,1008.1,31
2023-04-03,Greater Noida,24.4,3.2,1006.5,38
2023-04-04,Greater Noida,23.8,6.4,1008.5,43
2023-04-05,Greater Noida,23.8,5.2,1009.5,52
2023-04-06,Greater Noida,24.6,6.3,1011.6,55
2023-04-07,Greater Noida,25.2,6.7,1013.2,59
2023-04-08,Greater Noida,25.8,4.6,1013.6,55
2023-04-09,Greater Noida,26.1,4.2,1013.5,63
2023-04-10,Greater Noida,26,5,1011.7,63
2023-04-11,Greater Noida,27.5,7.3,1010.7,63
2023-04-12,Greater Noida,28.6,7.7,1010.2,67
2023-04-13,Greater Noida,28.6,5.6,1008.4,67
2023-04-14,Greater Noida,29.9,5.4,1007.4,67
2023-04-15,Greater Noida,31.1,3.3,1006.8,76
2023-04-16,Greater Noida,31.6,3.6,1005.8,76
2023-04-17,Greater Noida,31.6,4.2,1005.5,71
2023-04-18,Greater Noida,31.8,6.8,1006.6,72
2023-04-19,Greater Noida,30.6,6.9,1005,63
2023-04-20,Greater Noida,29.4,6.4,1002.3,55
2023-04-21,Greater Noida,29.2,8,1002.9,52
2023-04-22,Greater Noida,29.1,5.6,1004.1,38
2023-04-23,Greater Noida,26.8,6.5,1006.2,38
2023-04-24,Greater Noida,27.1,4.1,1009.4,31
2023-04-25,Greater Noida,27.4,5.6,1010.8,29
2023-04-26,Greater Noida,28.6,3.4,1007.5,27
2023-04-27,Greater Noida,29,5.8,1006.9,31
2023-04-28,Greater Noida,28.6,4.7,1008.1,37
2023-04-29,Greater Noida,27.6,6.6,1007.3,48
2023-04-30,Greater Noida,24.5,5.5,1006.8,45
2023-05-01,Greater Noida,22.4,7,1007.2,48
2023-05-02,Greater Noida,23.7,8.9,1008.4,51
2023-05-03,Greater Noida,22.2,5.5,1009.8,58
2023-05-04,Greater Noida,25,3.1,1009.4,51
